"","exp_name","cell_name","Menthol.400uM","AITC.100uM","Capsaicin.300nM","K.40mM"
"X.38561","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3856",1,1,0,0
"X.38571","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3857",0,0,0,0
"X.38581","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3858",0,0,1,0
"X.38591","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3859",0,0,0,0
"X.38601","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3860",0,0,0,0
"X.38614","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3861",0,0,0,0
"X.38621","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3862",0,0,0,0
"X.38631","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3863",0,0,0,0
"X.38641","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3864",0,0,1,0
"X.38651","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3865",0,0,0,1
"X.38661","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3866",0,0,1,0
"X.38671","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3867",0,1,0,1
"X.38681","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3868",0,0,0,0
"X.38691","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3869",0,0,0,1
"X.38701","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3870",0,0,1,0
"X.38714","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3871",0,0,0,0
"X.38721","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3872",0,0,0,0
"X.38731","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3873",0,1,0,1
"X.38741","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3874",0,0,0,0
"X.38751","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3875",0,0,0,0
"X.38761","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3876",0,0,0,0
"X.38771","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3877",1,0,0,1
"X.38781","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3878",0,0,0,0
"X.38791","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3879",1,1,1,0
"X.38801","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3880",0,0,0,0
"X.38814","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3881",0,0,0,0
"X.38821","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3882",0,0,0,0
"X.38831","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3883",0,0,1,0
"X.38841","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3884",1,0,0,0
"X.38851","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3885",0,0,0,0
"X.38861","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3886",0,0,0,0
"X.38871","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3887",1,0,1,0
"X.38881","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3888",0,0,0,0
"X.38891","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3889",0,0,0,0
"X.38901","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3890",1,0,0,0
"X.38914","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3891",0,0,1,0
"X.38921","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3892",1,1,0,0
"X.38931","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3893",0,0,0,0
"X.38941","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3894",0,0,0,0
"X.38951","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3895",1,1,0,0
"X.38961","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3896",0,0,0,0
"X.38971","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3897",0,0,0,0
"X.38981","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3898",0,0,0,0
"X.38991","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3899",1,0,0,1
"X.39001","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3900",1,0,1,0
"X.39014","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3901",0,0,0,0
"X.39021","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3902",0,0,1,0
"X.39031","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3903",0,0,0,0
"X.39041","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3904",0,0,0,0
"X.39051","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3905",0,0,0,0
"X.39061","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3906",1,0,0,0
"X.39071","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3907",0,0,1,0
"X.39081","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3908",1,0,0,0
"X.39091","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3909",0,0,1,1
"X.39104","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3910",1,1,0,0
"X.39114","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3911",0,0,0,0
"X.39121","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3912",0,0,1,0
"X.39131","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3913",0,1,0,0
"X.39141","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3914",1,0,1,0
"X.39151","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3915",0,0,1,0
"X.39161","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3916",1,0,1,0
"X.39171","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3917",0,0,0,0
"X.39181","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3918",0,0,0,0
"X.39191","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3919",0,0,0,0
"X.39201","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3920",0,0,0,0
"X.39214","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3921",1,0,0,0
"X.39221","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3922",0,0,0,0
"X.39231","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3923",0,1,0,0
"X.39241","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3924",1,1,1,1
"X.39251","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3925",0,0,0,0
"X.39261","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3926",0,0,0,0
"X.39271","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3927",0,0,0,0
"X.39281","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3928",1,1,1,0
"X.39291","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3929",0,1,1,1
"X.39301","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3930",1,0,0,0
"X.39314","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3931",0,0,0,0
"X.39321","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3932",0,0,0,0
"X.39331","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3933",0,0,0,0
"X.39341","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3934",1,1,0,1
"X.39351","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3935",1,1,0,0
"X.39361","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3936",1,1,0,0
"X.39371","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3937",0,1,1,0
"X.39381","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3938",0,1,0,1
"X.39391","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3939",0,0,0,0
"X.39401","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3940",0,0,0,0
"X.39414","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3941",0,0,0,0
"X.39421","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3942",0,0,0,0
"X.39431","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3943",0,0,1,1
"X.39441","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3944",0,0,0,0
"X.39451","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3945",0,0,0,0
"X.39461","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3946",0,0,0,0
"X.39471","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3947",0,0,0,0
"X.39481","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3948",1,0,1,0
"X.39491","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3949",0,0,0,0
"X.39501","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3950",0,0,0,0
"X.39514","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3951",0,0,0,0
"X.39521","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3952",1,0,1,0
"X.39531","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3953",0,0,0,1
"X.39541","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3954",1,0,0,0
"X.39551","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3955",0,0,0,0
"X.39561","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3956",0,0,0,0
"X.39571","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3957",0,0,0,0
"X.39581","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3958",0,0,1,1
"X.39591","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3959",0,0,0,1
"X.39601","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3960",0,0,0,0
"X.39614","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3961",0,0,0,0
"X.39621","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3962",0,0,0,0
"X.39631","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3963",1,0,0,0
"X.39641","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3964",0,0,0,0
"X.39651","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3965",1,0,1,0
"X.39661","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3966",0,0,0,0
"X.39671","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3967",0,0,0,0
"X.39681","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3968",1,0,1,1
"X.39691","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3969",1,0,0,0
"X.39701","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3970",0,0,0,0
"X.39714","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3971",0,0,0,0
"X.39721","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3972",1,0,0,0
"X.39731","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3973",0,0,0,0
"X.39741","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3974",0,0,0,0
"X.39751","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3975",1,0,1,0
"X.39761","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3976",0,0,0,0
"X.39771","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3977",0,0,0,1
"X.39781","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3978",0,0,0,0
"X.39791","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3979",0,0,0,0
"X.39801","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3980",0,0,0,0
"X.39814","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3981",0,0,0,0
"X.39821","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3982",0,0,1,0
"X.39831","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3983",0,0,0,0
"X.39841","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3984",0,0,0,0
"X.39851","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3985",1,0,0,1
"X.39861","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3986",0,1,1,1
"X.39871","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3987",0,1,0,1
"X.39881","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3988",1,1,0,0
"X.39891","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3989",0,0,0,0
"X.39901","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3990",0,0,0,0
"X.39914","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3991",0,0,0,0
"X.39921","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3992",0,0,1,1
"X.39931","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3993",0,0,0,0
"X.39941","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3994",0,0,0,1
"X.39951","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3995",0,0,1,0
"X.39961","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3996",0,0,0,0
"X.39971","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3997",0,0,0,0
"X.39981","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3998",0,0,0,0
"X.39991","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.3999",0,0,0,0
"X.40001","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4000",0,0,0,0
"X.40014","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4001",0,0,0,0
"X.40021","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4002",0,0,0,0
"X.40031","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4003",0,0,1,0
"X.40041","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4004",0,1,0,0
"X.40051","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4005",0,0,0,0
"X.40061","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4006",0,0,0,1
"X.40071","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4007",0,1,0,1
"X.40081","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4008",1,1,0,0
"X.40091","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4009",1,0,0,0
"X.40104","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4010",0,0,0,0
"X.40114","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4011",0,0,1,0
"X.40121","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4012",0,0,0,0
"X.40131","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4013",0,0,1,1
"X.40141","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4014",0,0,0,0
"X.40151","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4015",0,0,1,0
"X.40161","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4016",1,0,1,0
"X.40171","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4017",1,1,1,0
"X.40181","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4018",0,0,0,0
"X.40191","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4019",0,0,0,0
"X.40201","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4020",1,0,0,0
"X.40214","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4021",0,0,0,0
"X.40221","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4022",0,0,0,1
"X.40231","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4023",1,0,1,1
"X.40241","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4024",0,1,1,0
"X.40251","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4025",0,0,0,0
"X.40261","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4026",0,0,0,0
"X.40271","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4027",0,0,0,0
"X.40281","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4028",0,1,1,0
"X.40291","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4029",0,0,0,0
"X.40301","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4030",0,0,0,0
"X.40314","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4031",0,0,0,0
"X.40321","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4032",0,1,0,1
"X.40331","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4033",0,0,0,0
"X.40341","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4034",0,0,0,1
"X.40351","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4035",0,0,0,0
"X.40361","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4036",0,0,0,0
"X.40371","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4037",1,0,0,0
"X.40381","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4038",0,0,0,0
"X.40391","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4039",0,0,0,0
"X.40401","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4040",0,0,0,1
"X.40414","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4041",0,0,0,0
"X.40421","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4042",0,0,0,1
"X.40431","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4043",1,0,1,0
"X.40441","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4044",0,0,0,0
"X.40451","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4045",0,0,1,1
"X.40461","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4046",0,0,0,0
"X.40471","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4047",0,0,0,0
"X.40481","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4048",0,1,0,1
"X.40491","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4049",0,0,1,0
"X.40501","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4050",0,0,0,0
"X.40514","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4051",1,0,0,0
"X.40521","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4052",0,1,1,0
"X.40531","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4053",0,0,0,0
"X.40541","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4054",0,0,0,1
"X.40551","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4055",0,0,0,0
"X.40561","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4056",0,0,0,0
"X.40571","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4057",0,1,0,1
"X.40581","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4058",0,0,0,0
"X.40591","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4059",0,0,0,0
"X.40601","RD.190304.51.m.m3.p1.CCI.ips190304.51.m.m3.p1.CCI.ipsi.Rdata","X.4060",0,1,0,0
